TITLE, IMAGE, LINK, DESCRIPTION, DATE
Glass of Depression, https://pbs.twimg.com/media/GD4fHkBbcAAo2fW?format=jpg&name=large, https://www.instagram.com/p/C2HhoikLz_u/, None, 15 January 2024
Futuristic Train, https://pbs.twimg.com/media/GD4hLTRacAAp2Jh?format=jpg&name=large, https://www.instagram.com/p/C1t9zVeLe_k/, None, 5 January 2024
Futuristic City, https://pbs.twimg.com/media/F2ug_qxasAcgqu_?format=jpg&name=medium,  https://www.instagram.com/p/CC2sU5vh9Jw/,  Futuristic City\n\nProgram :\nBlender 3D, 20 July 2020
ARC City, https://pbs.twimg.com/media/F2ug_tYasAAacz_?format=jpg&name=medium, https://www.instagram.com/p/CCp680nhhSV/, ARC City\n\nTime : 1 day\n\nProgram :\nBlender 3D, 15 July 2024
Kiana and Himeko, https://pbs.twimg.com/media/F2ug_p9asAMP8el?format=jpg&name=medium, https://www.instagram.com/p/CCk9KlRhL8W/, Kiana and Himeko, 13 July 2020
Lab Remake, https://pbs.twimg.com/media/F2ug79AasAE4YMn?format=jpg&name=medium, https://www.instagram.com/p/CAEzDQ6BKTS/, Remake, 10 May 2020
Old Library, https://pbs.twimg.com/media/F2ug79CasAE77bg?format=jpg&name=medium, https://www.instagram.com/p/B__3_1Th_vn/, Old Library, 12 May 2020
Old Library, https://pbs.twimg.com/media/F2ug79Ba0AAksTH?format=jpg&name=medium, https://www.instagram.com/p/B__3yXzBroC/, Old Library, 10 May 2020
Spaceship V2, https://pbs.twimg.com/media/F2ug78BasAQLwQU?format=jpg&name=medium, https://www.instagram.com/p/B-YNcT7Bamu/, Spaceship V2, 31 March 2020
Spacecar, https://pbs.twimg.com/media/F2ugzu-aQAA1IeS?format=jpg&name=medium, https://www.instagram.com/p/B-YNJyBhxqa/, Spacecar, 31 March 2020
BMW, https://pbs.twimg.com/media/F2ugzuKasAEjuj6?format=jpg&name=medium, https://www.instagram.com/p/B9ls_xhhn4r/, BMW, 11 March 2020
BMW M3 GTR, https://pbs.twimg.com/media/F2ugzuIaQAMXIwU?format=jpg&name=medium, https://www.instagram.com/p/B9WrZfyBU1j/, BMW M3 GTR, 5 March 2020
Car Model, https://pbs.twimg.com/media/F2ugzt_aQAItxuS?format=jpg&name=medium, https://www.instagram.com/p/B9PrqiIhHvj/, First time making car, 3 March 2020
Sci-Fi Race Car, https://pbs.twimg.com/media/F2ugn8ra8AAor2z?format=jpg&name=medium, https://www.instagram.com/p/B9B1Ot7h4lG/, Sci-fi Race Car, 3 March 2020
Sci-Fi F1 Car, https://pbs.twimg.com/media/F2ugn8paQAEogcm?format=jpg&name=medium, https://www.instagram.com/p/B9PrcA7hyP9/, Sci-fi F1 Car, 26 February 2020
Formula Hybrid, https://pbs.twimg.com/media/F2ugn8easAEjZ21?format=jpg&name=medium, https://www.instagram.com/p/B8vloWvBwTJ/, Formula Hybrid, 19 February 2020
Formula 1, https://pbs.twimg.com/media/F2ugn8easAMbj0a?format=jpg&name=medium, https://www.instagram.com/p/B8vdaTKBE4x/, Formula 1, 19 February 2020
Formula 1 WIP, https://pbs.twimg.com/media/F2ugZoBasAMd-f8?format=jpg&name=medium, https://www.instagram.com/p/B8lXs5cBLDH/, Formula 1 WIP, 15 February 2020
Low Poly F1 Car, https://pbs.twimg.com/media/F2ugZoKasAUxYdo?format=jpg&name=medium, https://www.instagram.com/p/B8ifNcZBlo7/, Low Poly F1 Car, 14 February 2020
Sci-Fi Train Model, https://pbs.twimg.com/media/F2ugZoJasAE-1Lv?format=jpg&name=medium, https://www.instagram.com/p/B8dzINZhfMe/, Sci-fi Train Model, 12 February 2020
Low Poly Core, https://pbs.twimg.com/media/F2ugZoBaQAApkmB?format=jpg&name=medium, https://www.instagram.com/p/B6Zg0-FA23n/, A Low Poly Core, 23 December 2019
